Mécanique des sols et des roches	2A	VET	électifs	électifs VET	électifs Aménagement	S3	électifs environnement	Ponts ParisTech									
Projet urbain et territorial	2A	VET	électifs	électifs VET	électifs Aménagement	S3	électifs transport	Projet	Ponts ParisTech								
Economie de l'immobilier	2A	VET	électifs	électifs VET	électifs Aménagement	S3	3A	SEGF 	choix SEGF	Ponts ParisTech							
Hydrologie	2A	VET	électifs	électifs VET	électifs Aménagement	S3	Environnement	Parcours environnement	Ponts ParisTech								
Villes et métropolisation	2A	VET	électifs	électifs VET	électifs Aménagement	S4	3A	Ponts ParisTech									
Déchets et sites pollués	2A	VET	électifs	électifs VET	électifs Aménagement	S4	électifs environnement	Ponts ParisTech									
Gestion de la ressource en eau	2A	VET	électifs	électifs VET	électifs Aménagement	S4	électifs environnement	Ponts ParisTech									
Prévention et gestion des risques naturels et environnementaux	2A	VET	électifs	électifs VET	électifs Aménagement	S4	Environnement	Parcours environnement	Ponts ParisTech								
Environnement atmosphérique et qualité de l'air	2A	VET	électifs	électifs VET	électifs Aménagement	S4	Environnement	Parcours environnement	électifs transport	Ponts ParisTech							
 Mécanismes physiques du changement climatique	2A	VET	électifs	électifs VET	électifs Aménagement	S4	électifs environnement	GMM	électifs GMM	Ponts ParisTech							
Action foncière et territoire	3A	VET	électifs	électifs VET	électifs Aménagement	S5	AMUR	Ponts ParisTech									
Histoire de la construction	3A	VET	électifs	électifs VET	électifs Aménagement	S3	Ponts ParisTech										
Bilan Carbone et Analyse Cycle de Vie	3A	VET	Semaine d'ouverture	Semaine d'ouverture VET	Semaine d'ouverture IMI	IMI	O3	Ponts ParisTech									
Projet Aménagement, Transport, Environnement	3A	VET	Aménagement	Parcours aménagement	S5	Environnement	Parcours environnement	Projet	Ponts ParisTech								
Hydrologie urbaine	3A	VET	électifs	électifs VET	électifs Aménagement	S5	électifs environnement	Ponts ParisTech									
Espaces urbains et pratiques sociales	3A	VET	électifs	électifs VET	électifs Aménagement	S5	AMUR	Ponts ParisTech									
Activité économique et territoires	3A	VET	électifs	électifs VET	électifs Aménagement	S5	AMUR	Ponts ParisTech									
Organisation et management des transports urbains	3A	VET	électifs	électifs VET	électifs Aménagement	S5	électifs transport	Ponts ParisTech									
Economie de l'environnement et de l'énergie	2A	VET	Environnement	Parcours environnement	S3	SEGF	choix SEGF	3A	électifs	électifs IMI	Ponts ParisTech						
Environnement, eau et météorologie	2A	VET	Environnement	Parcours environnement	Approfondissement	Approfondissement environnement	S4	Ponts ParisTech									
Politiques et techniques de l'eau	2A	VET	électifs	électifs VET	électifs environnement	S3	électifs transport	Ponts ParisTech									
Atelier changement climatique	2A	VET	électifs	électifs VET	électifs environnement	S4	électifs transport	Ponts ParisTech									
Développement durable et territoire	2A	VET	électifs	électifs VET	électifs environnement	S4	électifs transport	Ponts ParisTech									
Introduction à l'assimilation des données	3A	VET	électifs	électifs VET	électifs environnement	S5	Ponts ParisTech										
Eau et assainissement dans les PED	3A	VET	électifs	électifs VET	électifs environnement	S5	Ponts ParisTech										
Economie des transports	2A	VET	Transport	Parcours Transport	S4	SEGF	choix SEGF	S5	TRADD	Ponts ParisTech							
Crash analysis	2A	GMM	ATHENS	électifs transport	S3	Ponts ParisTech											
Exploitation des transports ferroviaires et guidés	2A	VET	électifs	électifs VET	électifs transport	S4	Ponts ParisTech										
Acoustique	2A	VET	électifs	électifs VET	électifs transport	S4	GMM	choix GMM	Ponts ParisTech								
Sécurité des transports	3A	VET	électifs	électifs VET	électifs transport	S5	Ponts ParisTech										
Routes	3A	VET	électifs	électifs VET	électifs transport	S5	Ponts ParisTech										
Systèmes de transport de marchandises	3A	VET	électifs	électifs VET	électifs transport	S5	Ponts ParisTech										
Transports maritimes et fluvial	3A	VET	électifs	électifs VET	électifs transport	S5	Ponts ParisTech										
Conception et exploitation des systèmes logistiques et des transport	3A	VET	électifs	électifs VET	électifs transport	S5	Ponts ParisTech										
Semaine conception	2A	GMM	semaine d'ouverture	semaine d'ouverture GMM	O2	Ponts ParisTech											
Mécanique physique des matériaux	2A	GMM	Obligatoire GMM	S3	Ponts ParisTech												
Mécanique des fluides incompressibles 2	2A	GMM	Ponts ParisTech														
Mécanique des fluides incompressibles 1	2A	GMM	Obligatoire GMM	S3	Ponts ParisTech												
CFAO avec Catia	2A	GMM	Obligatoire GMM	S3	Ponts ParisTech												
Calcul des structures avec Abaqus	2A	GMM	Obligatoire GMM	S3	Ponts ParisTech												
Evaluation environnementale et conception	2A	GMM	Obligatoire GMM	S4	Ponts ParisTech												
Aérodynamique et transferts thermiques	2A	GMM	Obligatoire GMM	S4	Ponts ParisTech												
Projet GMM	2A	GMM	Obligatoire GMM	S4	Projet	Ponts ParisTech											
Mise en forme des matériaux	2A	GMM	choix GMM	S4	Ponts ParisTech												
Dynamique des structures/Dynamique et stabilité dans l'industrie	2A	GMM	choix GMM	S4	Ponts ParisTech												
Matériaux et structures hétérogènes	2A	GMM	choix GMM	S4	Ponts ParisTech												
Matériaux composites	2A	GMM	électifs	électifs GMM	S3	Ponts ParisTech											
Conception d'une structure volante	2A	GMM	électifs	électifs GMM	S3	Ponts ParisTech											
Conception automobile	2A	GMM	électifs	électifs GMM	S3	Ponts ParisTech											
Mécanique des fluides numérique avec Saturne	2A	GMM	électifs	électifs GMM	S3	Ponts ParisTech											
Coques et structures avancées	2A	GMM	électifs	électifs GMM	S4	Ponts ParisTech											
Polyèmes	2A	GMM	électifs	électifs GMM	S4	Ponts ParisTech											
Céramiques	2A	GMM	électifs	électifs GMM	S4	Ponts ParisTech											
Nanomatériaux	2A	GMM	électifs	électifs GMM	S4	Ponts ParisTech											
Conception des structures industrielles en métal	2A	GMM	électifs	électifs GMM	S4	Ponts ParisTech											
Simulation moléculaire	2A	GMM	électifs	électifs GMM	S4	Ponts ParisTech											
Imagerie des matériaux	2A	GMM	électifs	électifs GMM	S4	Ponts ParisTech											
Métaux	2A	GMM	électifs	électifs GMM	S4	Ponts ParisTech											
Simulation des systèmes industriels	2A	GI	semaine d'ouverture	semaine d'ouverture GI	O2	Ponts ParisTech											
Voyage GI	2A	GI	semaine d'ouverture	semaine d'ouverture GI	O2	Ponts ParisTech											
Projet   Mélusine 	2A	GI	Obligatoire GI	Projet	S3	Ponts ParisTech											
Métiers de l'industrie	2A	GI	Obligatoire GI	S3	Ponts ParisTech												
Planification et modélistion des systèmes de production	2A	GI	Obligatoire GI	S3	Ponts ParisTech												
Projet innovateur / scientifique	2A	GI	Obligatoire GI	Projet	S4	Ponts ParisTech											
Eco Boot camp	2A	GI	choix GI	S3	Ponts ParisTech												
Protection de l'innovation	2A	GI	choix GI	S3	Ponts ParisTech												
Ingénierie des infrastructures logistiques	2A	GI	choix GI	S4	Ponts ParisTech												
Supply Chain Management	2A	GI	choix GI	S4	Ponts ParisTech												
Gestion de projet	2A	GI	choix GI	S3	3A	électifs	électfis IMI	Ponts ParisTech									
Recherche opérationnelle	2A	GI	choix GI	S3	IMI	choix IMI	Ponts ParisTech										
Achats	2A	GI	choix GI	S4	Ponts ParisTech												
Design industriel	2A	GI	choix GI	S4	Ponts ParisTech												
Gestion des risques	2A	GI	choix GI	S4	Ponts ParisTech												
Marketing et produits nouveaux	2A	GI	choix GI	S4	Ponts ParisTech												
Stratégie de l'entreprise	2A	GI	choix GI	S4	Ponts ParisTech												
Economie	Option	Filière	SEGF	Ponts ParisTech													
Finance	option	Filière	SEGF	Ponts ParisTech													
Econométrie et applications	2A	SEGF	Obligatoire SEGF	S3	option économie	filière économie	économie	option finance	filière finance	finance	Ponts ParisTech						
Théorie de la décision et théorie des jeux	2A	SEGF	Obligatoire SEGF	S3	option économie	filière économie	économie	option finance	filière finance	finance	Ponts ParisTech						
Concurrence et marchés	2A	SEGF	Obligatoire SEGF	S4	option économie	filière économie	économie	option finance	filière finance	finance	Ponts ParisTech						
Politique économique internationale	2A	SEGF	Obligatoire SEGF	S4	option économie	filière économie	économie	option finance	filière finance	finance	Ponts ParisTech						
Projet SEGF	2A	SEGF	Obligatoire SEGF	S4	option économie	filière économie	économie	option finance	filière finance	finance	Ponts ParisTech						
Macroéconomie	2A	SEGF	Obligatoire SEGF	S3	option économie	filière économie	économie	Ponts ParisTech									
Théories de la croissance et du développement	2A	SEGF	Obligatoire SEGF	S4	option économie	filière économie	économie	Ponts ParisTech									
Economie publique	2A	SEGF	choix SEGF	S3	option économie	filière économie	économie	Ponts ParisTech									
Economie comportementale et expérimentale	2A	SEGF	choix SEGF	S4	option économie	filière économie	économie	Ponts ParisTech									
Eau dans les pays en développement	2A	SEGF	choix SEGF	S3	option économie	filière économie	économie	Ponts ParisTech									
Economie géographique	2A	SEGF	choix SEGF	S4	option économie	filière économie	économie	Ponts ParisTech									
Statégie financière d'entreprise	2A	SEGF	Obligatoire SEGF	S3	option finance	filière finance	finance	IMI	choix IMI	Ponts ParisTech							
Structuration des financements	2A	SEGF	Obligatoire SEGF	S4	option finance	filière finance	finance	Ponts ParisTech									
Outils probabilistes pour la finance	2A	SEGF	Obligatoire SEGF	S3	option finance	filière finance	finance	Ponts ParisTech									
Finance: aspects mathématiques et numériques	2A	SEGF	Obligatoire SEGF	S4	option finance	filière finance	finance	Ponts ParisTech									
Financial Markets Workshop (MBA)	2A	SEGF	choix SEGF	S1	option finance	filière finance	finance	MBA	Ponts ParisTech								
Séminaire Création d'entreprises innovantes	2A	SEGF	choix SEGF	S2	option finance	filière finance	finance	Ponts ParisTech									
Mergers and Acquisitions (MBA)	2A	SEGF	choix SEGF	S1	option finance	filière finance	finance	MBA	Ponts ParisTech								
Droit de l'entreprise	2A	SEGF	choix SEGF	S2	option finance	filière finance	finance	droit	Ponts ParisTech								
Economie comportementale et expérimentale	2A	SEGF	choix SEGF	S2	option finance	filière finance	finance	Ponts ParisTech									
Finances quantitatives	IMI	option	filière	cursus	Ponts ParisTech												
Analyse numérique	IMI	option	filière	cursus	Ponts ParisTech												
Vision d'apprentissage	IMI	option	filière	cursus	Ponts ParisTech												
Optimisation	IMI	option	filière	cursus	Ponts ParisTech												
Voyage IMI	2A	IMI	semaine d'ouverture	semaine d'ouverture IMI	O2	finances quantitatives	analyse numérique	vision d'apprentissage	optimisation	Ponts ParisTech							
